Subrun Event Type ystart yend ydiff length Eng Michel
228 11394 Pion -25.7426 -61.276 35.5334 43.2307 0.296546 0
228 11395 Pion -8.34734 -59.0738 50.7264 52.0949 0.300823 0
228 11396 Pion 101.429 73.6918 27.737 79.0145 1.89149 0
228 11398 Pion -25.3457 16.4713 41.817 94.6385 0.652824 0
228 11399 Pion 95.5678 92.5871 2.98064 82.4987 0.357814 0
230 11451 Pion 16.0623 -23.7386 39.801 44.9844 1.13794 0
230 11454 Pion -29.784 -27.1637 2.62038 26.6286 1.71968 0
230 11455 Pion 117.325 -7.32831 124.653 158.43 1.2343 0
230 11458 Pion -62.8728 -26.9998 35.8729 51.5945 0.949377 0
230 11460 Pion 73.3597 79.7081 6.34846 13.5186 0.93566 0
230 11462 Pion -86.8545 -68.3087 18.5458 26.6343 0.68873 0
230 11463 Pion -86.497 -72.4639 14.0331 36.2546 0.833257 0
230 11464 Pion 93.3206 93.3199 0.00063324 20.7373 1.69204 0
230 11467 Pion -27.01 -30.4265 3.41654 25.7592 1.95438 0
230 11468 Pion 33.6031 67.1337 33.5306 133.367 1.01923 0
230 11469 Pion -32.9723 -41.2112 8.23888 17.651 0.927439 0
230 11470 Pion -54.6197 -33.7419 20.8779 23.0812 0.325971 0
230 11471 Pion 113.239 116.867 3.62779 10.0994 1.67018 0
230 11472 Pion -43.355 -29.6942 13.6608 54.8695 1.34525 0
230 11474 Pion -78.5751 34.9048 113.48 150.098 1.4494 0
230 11478 Pion -73.8236 -46.2478 27.5758 55.6043 0.388106 0
230 11478 Pion -74.1952 -79.1136 4.91831 37.6323 0.388106 0
230 11479 Pion -60.8111 -60.5269 0.28421 51.5086 0.836383 0
230 11481 Pion 71.0222 20.4864 50.5358 70.7155 1.22182 0
230 11482 Pion -59.5719 -114.327 54.755 101.612 0.821239 0
230 11483 Pion -82.0056 -73.3574 8.6482 10.7716 1.29016 0
230 11484 Pion -3.33844 -24.3169 20.9785 42.0237 1.70346 0
230 11488 Pion 23.7146 28.6065 4.8919 8.3237 0.268777 0
230 11489 Pion 54.3468 30.4796 23.8673 33.4233 0.800419 0
230 11490 Pion 117.203 95.4169 21.7858 22.3244 1.58615 0
230 11492 Pion 43.9738 29.9644 14.0094 36.5459 0.313997 0
230 11492 Pion 39.0866 55.3224 16.2357 27.221 0.313997 0
230 11493 Pion -88.4519 -78.9533 9.49863 106.218 1.91512 0
230 11495 Pion -34.7775 -83.6736 48.8961 70.9899 1.1816 0
230 11497 Pion 31.8979 50.4895 18.5916 27.9815 1.80359 0
230 11498 Pion 46.4843 -23.5891 70.0734 108.522 1.24564 0
188 9353 Pion 41.4708 34.487 6.98381 61.8815 0.847349 0
188 9356 Pion 68.1416 64.7675 3.37405 6.28596 0.179765 0
188 9357 Pion -33.27 -28.4436 4.82634 24.7179 0.24058 0
188 9362 Pion 91.2544 98.2989 7.04451 41.5152 1.99828 0
188 9363 Pion -84.6064 -92.2955 7.68911 7.71805 0.392324 0
188 9366 Pion 94.856 94.7601 0.095932 74.6508 0.52986 0
188 9367 Pion 90.7917 88.0407 2.75105 17.5465 1.86392 0
188 9374 Pion 105.31 101.478 3.83227 6.41401 0.287258 0
188 9375 Pion -81.0566 -59.9911 21.0656 53.7181 1.73098 0
188 9376 Pion 21.1867 96.6819 75.4952 96.2696 1.81926 0
188 9377 Pion 4.55437 5.84266 1.28829 15.2536 1.45929 0
188 9378 Pion 52.0865 117.171 65.0846 67.1505 1.78322 0
188 9379 Pion -5.05842 -37.6145 32.556 56.8558 0.991606 0
188 9382 Pion -115.543 -93.154 22.3894 23.7466 0.277753 0
188 9383 Pion -63.6932 51.6983 115.391 163.779 0.889972 0
188 9389 Pion -86.1939 -90.9663 4.77245 13.5493 1.31838 0
188 9390 Pion -115.457 -65.9665 49.4902 57.5297 1.77121 0
188 9392 Pion 110.218 110.626 0.408287 8.77822 0.242818 0
188 9393 Pion -38.5707 -82.8853 44.3147 87.7088 0.758821 0
188 9394 Pion -41.9031 -65.6593 23.7562 35.9127 1.6891 0
188 9394 Pion -31.1863 -30.4277 0.758661 5.40145 1.6891 0
188 9395 Pion 41.2866 -9.01773 50.3043 143.41 0.869858 0
193 9606 Pion 117.457 43.1662 74.2912 82.4053 1.63949 0
193 9607 Pion 96.7759 96.2751 0.500832 9.43479 1.3675 0
193 9608 Pion -86.1221 -111.806 25.6843 40.0586 0.887057 0
193 9614 Pion 113.794 88.9217 24.8726 26.2043 0.755258 0
193 9615 Pion 36.1015 37.1893 1.08779 52.487 0.406726 0
193 9615 Pion 37.0069 6.89978 30.1071 38.8767 0.406726 0
193 9616 Pion 85.9337 93.9069 7.97318 9.4223 0.603433 0
193 9618 Pion -84.1262 -36.2674 47.8588 129.211 0.631705 0
193 9618 Pion -84.4257 -86.7726 2.34694 81.0212 0.631705 0
193 9627 Pion 117.402 75.0219 42.3798 84.9477 1.74773 0
193 9628 Pion -16.4585 -46.8517 30.3932 77.5209 0.943498 0
193 9629 Pion 17.067 41.9052 24.8382 32.133 0.472356 0
193 9630 Pion -82.5934 -77.6623 4.9311 12.2202 0.220059 0
193 9631 Pion 28.5392 48.3326 19.7934 25.9845 1.28284 0
193 9633 Pion -26.5063 -5.60063 20.9056 50.4768 0.29424 0
193 9634 Pion -34.4034 -95.4142 61.0109 83.5927 0.823474 0
193 9638 Pion 50.06 39.4232 10.6368 30.3818 1.05908 0
193 9639 Pion -3.61834 1.71675 5.33509 21.3489 1.22298 0
193 9640 Pion -96.7318 58.285 155.017 173.492 0.560181 0
193 9642 Pion -23.5717 -22.4696 1.10209 14.7313 0.288729 0
193 9643 Pion -50.3329 17.6596 67.9925 129.889 1.67771 0
