Subrun Event Type process ystart yend ydiff length Eng Michel
368 18372 Muon 1 -115.56 28.3955 143.956 153.531 0.780988 0
368 18373 Muon 1 10.739 117.438 106.699 223.184 1.96712 0
368 18375 Muon 1 -115.528 -38.9303 76.5977 160.795 1.73075 0
368 18378 Muon 1 -74.9581 -79.1408 4.18263 5.21297 0.130747 0
368 18379 Muon 1 -64.0799 -26.196 37.8839 88.3057 0.951407 0
368 18380 Muon 1 -66.9039 -87.9686 21.0647 214.048 1.98796 0
368 18381 Muon 1 -27.2962 103.009 130.305 282.959 0.839656 0
368 18382 Muon 1 -17.4243 -19.4689 2.04464 4.14501 0.133442 0
368 18383 Muon 1 -79.2225 -6.51164 72.7108 276.715 0.845414 0
368 18385 Muon 1 104.195 39.4648 64.7304 199.476 1.58403 0
368 18386 Muon 1 16.3737 113.881 97.507 127.488 1.59238 0
368 18387 Muon 1 54.654 69.7427 15.0888 23.7629 1.17097 0
368 18388 Muon 1 10.6991 20.4192 9.72015 186.206 1.26553 0
368 18389 Muon 1 107.129 90.6883 16.4406 61.3707 1.07791 0
368 18390 Muon 1 -49.853 -35.3732 14.4798 37.644 0.246593 0
368 18390 Muon 1 -58.7543 -63.8153 5.06097 6.63804 0.246593 0
368 18391 Muon 1 -11.1108 -13.2816 2.17077 25.9483 0.455492 0
368 18396 Muon 1 -69.2486 -46.756 22.4927 57.8123 0.330215 0
368 18397 Muon 1 72.5436 78.053 5.50938 44.1974 0.227373 0
368 18398 Muon 1 1.09052 -30.2571 31.3476 65.2437 0.967573 0
383 19101 Muon 1 -115.446 -11.7691 103.677 110.614 1.66739 0
383 19104 Muon 1 74.3373 -89.2398 163.577 566.492 1.41201 0
383 19105 Muon 1 -115.386 -93.691 21.6946 41.7823 0.651246 0
383 19109 Muon 1 -85.1079 -87.6804 2.57248 15.2448 1.97652 0
383 19112 Muon 1 -67.0826 10.3735 77.4561 180.192 0.883493 0
383 19113 Muon 1 -41.562 50.5916 92.1537 107.035 0.36599 0
383 19114 Muon 1 3.9181 -52.1463 56.0644 69.1252 0.293457 0
383 19115 Muon 1 -47.7371 -87.307 39.5699 285.85 1.5936 0
383 19116 Muon 1 117.245 16.7864 100.458 113.123 1.4039 0
383 19117 Muon 1 16.9109 33.477 16.5661 25.603 1.16642 0
383 19118 Muon 1 11.566 107.964 96.3981 188.734 0.538926 0
383 19119 Muon 1 -64.8554 -69.6855 4.83017 20.6888 0.279593 0
383 19120 Muon 1 -71.1069 -38.045 33.0619 35.4137 0.21446 0
383 19121 Muon 1 -29.2828 -115.509 86.2266 158.581 0.585105 0
383 19122 Muon 1 -95.7632 -56.9868 38.7764 181.809 1.10747 0
383 19123 Muon 1 -33.6691 6.7054 40.3745 101.477 0.628371 0
383 19124 Muon 1 43.1623 49.4626 6.30032 150.855 0.994344 0
383 19124 Muon 1 43.1741 42.8963 0.27779 12.3211 0.994344 0
383 19125 Muon 1 -18.9933 -110.02 91.0263 299.073 0.845281 0
383 19126 Muon 1 -94.382 90.5132 184.895 281.837 0.980207 0
383 19127 Muon 1 28.9647 86.4437 57.479 90.9688 1.52346 0
383 19128 Muon 1 63.2362 23.8112 39.4251 49.2084 1.53434 0
383 19128 Muon 1 60.1054 61.5628 1.4574 1.58477 1.53434 0
383 19130 Muon 1 -3.5903 60.4505 64.0408 235.195 0.706967 0
383 19131 Muon 1 23.8349 5.97365 17.8613 42.8492 0.598772 0
383 19132 Muon 1 -40.3135 -33.796 6.51756 17.5739 0.175677 0
383 19134 Muon 1 -115.531 -69.5444 45.9862 79.3541 1.84365 0
383 19135 Muon 1 -5.26431 117.396 122.661 398.314 1.19075 0
383 19136 Muon 1 -2.02197 -28.8524 26.8304 296.074 0.8957 0
383 19136 Muon 1 -5.52431 7.62136 13.1457 59.5887 0.8957 0
383 19137 Muon 1 77.6949 117.397 39.7022 111.359 1.94752 0
383 19138 Muon 1 94.7094 117.285 22.5755 41.1409 1.44179 0
383 19140 Muon 1 14.6535 21.9191 7.26565 57.257 1.78932 0
383 19140 Muon 1 14.9329 18.4024 3.46951 4.69527 1.78932 0
383 19141 Muon 1 -28.4064 -59.9763 31.5698 309.426 1.48218 0
383 19144 Muon 1 91.4455 117.421 25.9751 54.3633 1.03301 0
383 19147 Muon 1 -47.1738 115.14 162.313 188.131 1.21833 0
383 19148 Muon 1 56.8047 61.2144 4.40971 15.414 1.66037 0
383 19150 Muon 1 -115.56 -95.6398 19.9205 68.0037 0.526984 0
385 19201 Muon 1 -34.1581 40.8755 75.0336 137.722 1.04081 0
385 19201 Muon 1 -32.2854 -33.3969 1.11143 9.20252 1.04081 0
385 19202 Muon 1 -78.6012 -115.551 36.9502 75.6635 0.989683 0
385 19204 Muon 1 50.8769 -52.4201 103.297 181.026 0.585412 0
